0, 0, -1
0, 1, 14
0, 2, 10
0, 3, 14
0, 4, 7
0, 5, 3
0, 6, 10
0, 7, 25
0, 8, 13
0, 9, 15
1, 1, -1
1, 2, 6
1, 3, 19
1, 4, 24
1, 5, 11
1, 6, 15
1, 7, 1
1, 8, 19
1, 9, 4
2, 2, -1
2, 3, 16
2, 4, 16
2, 5, 14
2, 6, 1
2, 7, 17
2, 8, 16
2, 9, 20
3, 3, -1
3, 4, 6
3, 5, 14
3, 6, 20
3, 7, 20
3, 8, 12
3, 9, 1
4, 4, -1
4, 5, 20
4, 6, 17
4, 7, 8
4, 8, 13
4, 9, 8
5, 5, -1
5, 6, 9
5, 7, 12
5, 8, 3
5, 9, 14
6, 6, -1
6, 7, 4
6, 8, 14
6, 9, 23
7, 7, -1
7, 8, 14
7, 9, 18
8, 8, -1
8, 9, 24
9, 9, -1
0, 0, -1
0, 1, 17
0, 2, 23
0, 3, 4
0, 4, 10
0, 5, 11
0, 6, 16
0, 7, 17
0, 8, 1
0, 9, 23
1, 1, -1
1, 2, 10
1, 3, 1
1, 4, 9
1, 5, 25
1, 6, 16
1, 7, 15
1, 8, 10
1, 9, 15
2, 2, -1
2, 3, 23
2, 4, 14
2, 5, 6
2, 6, 11
2, 7, 14
2, 8, 1
2, 9, 5
3, 3, -1
3, 4, 6
3, 5, 6
3, 6, 2
3, 7, 17
3, 8, 24
3, 9, 8
4, 4, -1
4, 5, 2
4, 6, 6
4, 7, 6
4, 8, 22
4, 9, 25
5, 5, -1
5, 6, 19
5, 7, 7
5, 8, 4
5, 9, 25
6, 6, -1
6, 7, 18
6, 8, 21
6, 9, 1
7, 7, -1
7, 8, 11
7, 9, 1
8, 8, -1
8, 9, 18
9, 9, -1
0, 0, -1
0, 1, 6
0, 2, 21
0, 3, 2
0, 4, 10
0, 5, 21
0, 6, 19
0, 7, 6
0, 8, 3
0, 9, 16
1, 1, -1
1, 2, 16
1, 3, 12
1, 4, 8
1, 5, 2
1, 6, 1
1, 7, 23
1, 8, 20
1, 9, 13
2, 2, -1
2, 3, 22
2, 4, 7
2, 5, 5
2, 6, 11
2, 7, 9
2, 8, 24
2, 9, 12
3, 3, -1
3, 4, 2
